identity_key,product_name,resolution,canonical_source_reference_id,member_reference_ids,reason
BEAUTY_CARE|acondi cebolla|7d7ace64-4b5a-46ff-99e8-ffe658fe617f|,ACONDI CEBOLLA,VARIANT_SET,,CATV1-P033-R1R;CATV1-P034-R2R,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|acondi herbal|7d7ace64-4b5a-46ff-99e8-ffe658fe617f|,ACONDI HERBAL,VARIANT_SET,,CATV1-P029-R3R;CATV1-P034-R3L,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|base matte og|4ef7e563-2744-446c-804d-7fc5952ec59a|,BASE MATTE OG,DEFER,,CATV1-P145-R3L;CATV1-P146-R1L,"HUMAN_VISUAL_REVIEW: conflicting price/presentation evidence is insufficient to classify safely as duplicate, variant, or distinct product; defer."
BEAUTY_CARE|base|a4ed69d0-66b1-4abd-9207-5ff729babb58|,BASE,DISTINCT_PRODUCTS,,CATV1-P207-R2R;CATV1-P210-R3L,HUMAN_VISUAL_REVIEW: references show materially different physical products despite the same normalized label; treat them as distinct canonical products.
BEAUTY_CARE|berry fondue|340fb06e-fd22-49ec-a967-359e83aa939b|,BERRY FONDUE,DISTINCT_PRODUCTS,,CATV1-P150-R3R;CATV1-P152-R3L,HUMAN_VISUAL_REVIEW: references show materially different physical products despite the same normalized label; treat them as distinct canonical products.
BEAUTY_CARE|brochas nude elegance|e466082b-7532-4204-b781-94650387a81f|,BROCHAS NUDE ELEGANCE,DUPLICATE_REFERENCE,CATV1-P181-R3R,CATV1-P181-R3R;CATV1-P182-R2L,HUMAN_VISUAL_REVIEW: references represent the same catalog product/repetition; earliest catalog reference selected as canonical for staging approval.
BEAUTY_CARE|cepillo masajeador||b36e2375-b910-4030-abf2-832999885338,CEPILLO MASAJEADOR,DISTINCT_PRODUCTS,,CATV1-P136-R2L;CATV1-P138-R3R,HUMAN_VISUAL_REVIEW: references show materially different physical products despite the same normalized label; treat them as distinct canonical products.
BEAUTY_CARE|color bloom|e466082b-7532-4204-b781-94650387a81f|,COLOR BLOOM,VARIANT_SET,,CATV1-P181-R1L;CATV1-P193-R1R,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|corrector miis||e137169e-b616-4487-aa3e-7637db245219,CORRECTOR MIIS,VARIANT_SET,,CATV1-P229-R2R;CATV1-P231-R2R;CATV1-P231-R3L,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|corrector ushas||e137169e-b616-4487-aa3e-7637db245219,CORRECTOR USHAS,VARIANT_SET,,CATV1-P229-R1R;CATV1-P230-R2R,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|deademaosobrillo|e466082b-7532-4204-b781-94650387a81f|,DEADEMAOSOBRILLO,DUPLICATE_REFERENCE,CATV1-P176-R3L,CATV1-P176-R3L;CATV1-P180-R3L,HUMAN_VISUAL_REVIEW: references represent the same catalog product/repetition; earliest catalog reference selected as canonical for staging approval.
BEAUTY_CARE|delineador blanco||69039ea1-d8d5-4ae9-9dcb-f57b20ec92b7,DELINEADOR BLANCO,DISTINCT_PRODUCTS,,CATV1-P218-R1L;CATV1-P221-R3R,HUMAN_VISUAL_REVIEW: references show materially different physical products despite the same normalized label; treat them as distinct canonical products.
BEAUTY_CARE|delineador|e466082b-7532-4204-b781-94650387a81f|,DELINEADOR,DUPLICATE_REFERENCE,CATV1-P175-R1R,CATV1-P175-R1R;CATV1-P176-R2L,HUMAN_VISUAL_REVIEW: references represent the same catalog product/repetition; earliest catalog reference selected as canonical for staging approval.
BEAUTY_CARE|encrespador fifty||69039ea1-d8d5-4ae9-9dcb-f57b20ec92b7,ENCRESPADOR FIFTY,VARIANT_SET,,CATV1-P222-R2L;CATV1-P222-R3L;CATV1-P223-R1L,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|gancho flor hawaiana||b36e2375-b910-4030-abf2-832999885338,GANCHO FLOR HAWAIANA,VARIANT_SET,,CATV1-P141-R3R;CATV1-P142-R1R,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|gel fijador cejas|a4ed69d0-66b1-4abd-9207-5ff729babb58|,GEL FIJADOR CEJAS,DEFER,,CATV1-P208-R3L;CATV1-P208-R3R,"HUMAN_VISUAL_REVIEW: conflicting price/presentation evidence is insufficient to classify safely as duplicate, variant, or distinct product; defer."
BEAUTY_CARE|gloss mimosa|e466082b-7532-4204-b781-94650387a81f|,GLOSS MIMOSA,DEFER,,CATV1-P187-R1R;CATV1-P191-R3R,"HUMAN_VISUAL_REVIEW: conflicting price/presentation evidence is insufficient to classify safely as duplicate, variant, or distinct product; defer."
BEAUTY_CARE|glowy shell|e466082b-7532-4204-b781-94650387a81f|,GLOWY SHELL,VARIANT_SET,,CATV1-P180-R2L;CATV1-P182-R3R,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|kit cartuchera|ea9d8272-18a7-4af8-8f21-578b65ac5c66|,KIT CARTUCHERA,VARIANT_SET,,CATV1-P236-R3L;CATV1-P238-R3L,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|labial humectante|ea9d8272-18a7-4af8-8f21-578b65ac5c66|,LABIAL HUMECTANTE,DISTINCT_PRODUCTS,,CATV1-P238-R1R;CATV1-P238-R2L,HUMAN_VISUAL_REVIEW: references show materially different physical products despite the same normalized label; treat them as distinct canonical products.
BEAUTY_CARE|labial pureglow og|4ef7e563-2744-446c-804d-7fc5952ec59a|,LABIAL PUREGLOW OG,VARIANT_SET,,CATV1-P146-R1R;CATV1-P146-R2L,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|light set montoc|a4ed69d0-66b1-4abd-9207-5ff729babb58|,LIGHT SET MONTOC,DISTINCT_PRODUCTS,,CATV1-P208-R1L;CATV1-P208-R2R,HUMAN_VISUAL_REVIEW: references show materially different physical products despite the same normalized label; treat them as distinct canonical products.
BEAUTY_CARE|lip gloss|340fb06e-fd22-49ec-a967-359e83aa939b|,LIP GLOSS,VARIANT_SET,,CATV1-P150-R1R;CATV1-P150-R3L;CATV1-P151-R1R,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|lip liner|340fb06e-fd22-49ec-a967-359e83aa939b|,LIP LINER,VARIANT_SET,,CATV1-P151-R3L;CATV1-P152-R2R,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|masajeador capilar||b36e2375-b910-4030-abf2-832999885338,MASAJEADOR CAPILAR,DUPLICATE_REFERENCE,CATV1-P138-R1L,CATV1-P138-R1L;CATV1-P141-R2R,HUMAN_VISUAL_REVIEW: references represent the same catalog product/repetition; earliest catalog reference selected as canonical for staging approval.
BEAUTY_CARE|perfume capilar|97dfff9f-d633-42b5-b01b-b5cf608440cf|,PERFUME CAPILAR,VARIANT_SET,,CATV1-P063-R3L;CATV1-P063-R3R,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|piluss pestanas||69039ea1-d8d5-4ae9-9dcb-f57b20ec92b7,PILUSS PESTÁÑAS,DISTINCT_PRODUCTS,,CATV1-P221-R2R;CATV1-P221-R3L,HUMAN_VISUAL_REVIEW: references show materially different physical products despite the same normalized label; treat them as distinct canonical products.
BEAUTY_CARE|pinza coreana||b36e2375-b910-4030-abf2-832999885338,PINZA COREANA,VARIANT_SET,,CATV1-P140-R1R;CATV1-P141-R1L,"HUMAN_VISUAL_REVIEW: references share a commercial identity but show materially different presentation, shade, design or size; keep as a variant set and defer product creation until ProductVariant is modeled."
BEAUTY_CARE|polvo majikal mini|52c89d28-6e86-49d7-838d-1ea3be7c096f|,POLVO MAJIKAL MINI,DISTINCT_PRODUCTS,,CATV1-P164-R3L;CATV1-P164-R3R,HUMAN_VISUAL_REVIEW: references show materially different physical products despite the same normalized label; treat them as distinct canonical products.
