source_reference_id,source_page,source_slot,product_name,decision,reason
CATV1-P011-R1L,11,R1L,SHAMPOO ROMERO,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P011-R1R,11,R1R,SHAMPOO ARGAN,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P011-R2L,11,R2L,ACONDICIONADOR NUEVO,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P011-R2R,11,R2R,SHAMPOO ANTICASPA,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P011-R3L,11,R3L,GOTAS CBD,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P011-R3R,11,R3R,TONICO ANTICAIDA,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P012-R1L,12,R1L,EXFOLIANTE CAPILAR,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P014-R1L,14,R1L,BRONCEADOR ZANAHORIA,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P014-R1R,14,R1R,BRONCEADOR COCO,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P014-R2L,14,R2L,LOCION DE ORO,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P014-R2R,14,R2R,MANTEQUILLA CORPORAL,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P014-R3L,14,R3L,GEL DE ALOE VERA,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
